weapon,class,level,damage,notes
Bow WeaponDef 1,Bow,0,35,
Bow WeaponDef 1,Bow,1,37,Teaching gate (g6=37) cleared
Bow WeaponDef 1,Bow,4,43,g9 gate cleared
Bow WeaponDef 1,Bow,7,49,g12 gate cleared
Bow WeaponDef 1,Bow,10,55,Max. g16 gate=57 — cannot pass. Forces Bow2.
Bow WeaponDef 2,Bow,0,55,Purchase: 600 cash / 14 tok
Bow WeaponDef 2,Bow,1,57.5,g16 gate=57 cleared at L1+
Bow WeaponDef 2,Bow,4,65,g20 gate=65 cleared at L4
Bow WeaponDef 2,Bow,10,80,Max
Bow WeaponDef 3,Bow,0,80,Purchase at campaign level 18
Bow WeaponDef 3,Bow,10,120,Max
Crossbow WeaponDef 1,Crossbow,0,22,Sniper gates 0-2 pass at L0
Crossbow WeaponDef 1,Crossbow,2,25,Sniper gate 3 (24) cleared
Crossbow WeaponDef 1,Crossbow,4,28,Sniper gate 4 (27) cleared
Crossbow WeaponDef 1,Crossbow,6,31,Sniper gate 5 (30) cleared
Crossbow WeaponDef 1,Crossbow,8,34,Sniper gate 6 (33) cleared
Crossbow WeaponDef 1,Crossbow,10,37,Sniper gate 7 (36) cleared. Gate 8 (39) needs Crossbow2.
Spear WeaponDef 1,Spear,0,65,First Spear mission (g7 gate=55) passes at base. CHANGED from 180.
Spear WeaponDef 1,Spear,1,70.5,g10 gate=70 cleared
Spear WeaponDef 1,Spear,4,87,g13 gate=85 cleared
Spear WeaponDef 1,Spear,9,110.5,g18 gate=110 cleared
Spear WeaponDef 1,Spear,10,110,Max. g22 gate=130 — cannot pass. Forces Spear2.
Spear WeaponDef 2,Spear,0,110,Purchase at level 23. CHANGED from 260.
Spear WeaponDef 2,Spear,3,134,g22 gate=130 cleared at L3. Loop 1: 162.5 needs L7.
Spear WeaponDef 2,Spear,10,190,Max
Spear WeaponDef 3,Spear,0,190,Purchase at level 35. CHANGED from 380.
Spear WeaponDef 3,Spear,2,212,Loop 2 g22 gate=201.5 cleared
Spear WeaponDef 3,Spear,10,300,Max
Shuriken WeaponDef 1,Shuriken,0,25,
Shuriken WeaponDef 1,Shuriken,1,26,g8 gate=26 cleared at L1
Shuriken WeaponDef 1,Shuriken,7,32,g11 gate=32 cleared at L7
Shuriken WeaponDef 1,Shuriken,10,35,Max. g14 gate=38 — cannot pass. Forces Shuriken2.
Shuriken WeaponDef 2,Shuriken,0,35,Purchase: 650 cash / 15 tok
Shuriken WeaponDef 2,Shuriken,6,44,g17 gate=44 cleared at L6
Shuriken WeaponDef 2,Shuriken,10,50,Max. g21 gate=52 — cannot pass. Forces Shuriken3.
Shuriken WeaponDef 3,Shuriken,0,50,Purchase at level 19
Shuriken WeaponDef 3,Shuriken,1,52.5,g21 gate=52 cleared
Shuriken WeaponDef 3,Shuriken,10,75,Max
Boomerang WeaponDef 1,Boomerang,0,55,First Boomerang mission (g15 gate=52.5) passes at base. CHANGED from 80.
Boomerang WeaponDef 1,Boomerang,3,64,g19 gate=62.5 cleared at L3
Boomerang WeaponDef 1,Boomerang,10,80,Max
Boomerang WeaponDef 2,Boomerang,0,80,Purchase at level 28. CHANGED from 100.
Boomerang WeaponDef 2,Boomerang,10,130,Max
